Date,Open,High,Low,Close,Volume,Adj Close
5/05/2005,3955.2,3966.2,3926.6,3956.1,0,3956.1
4/05/2005,3988.9,3988.9,3935.6,3947.1,0,3947.1
3/05/2005,4015.4,4031.1,3974.1,3986.3,0,3986.3
2/05/2005,3991,4014.9,3990.7,4011.3,0,4011.3
29/04/2005,4000.6,4000.9,3969.1,3983.2,0,3983.2
28/04/2005,4010.3,4018.1,4003.7,4011.6,0,4011.6
27/04/2005,4017,4024.9,3997.1,4019,0,4019
26/04/2005,4035.8,4050.6,4016.5,4027.8,0,4027.8
22/04/2005,4022.6,4048,4022.6,4034.1,0,4034.1
21/04/2005,4014.5,4020.2,3988.1,4013.9,0,4013.9
20/04/2005,4025.7,4053.8,4011.4,4022.6,0,4022.6
19/04/2005,3968.3,4021.2,3968.3,4021.2,0,4021.2
18/04/2005,4001.8,4001.8,3958.3,3959.4,0,3959.4
15/04/2005,4067.7,4067.7,4010.8,4014.3,0,4014.3
14/04/2005,4131.1,4131.1,4079.5,4082.3,0,4082.3
13/04/2005,4142.7,4160.4,4129.4,4135,0,4135
12/04/2005,4130,4142,4127.6,4142,0,4142
11/04/2005,4160.9,4160.9,4128.7,4132.6,0,4132.6
8/04/2005,4136.9,4165.5,4136.9,4165.5,0,4165.5
7/04/2005,4123.4,4133.4,4115.1,4127.8,0,4127.8
6/04/2005,4133.6,4154.9,4110,4118.9,0,4118.9
5/04/2005,4121.5,4132.4,4113.9,4132.4,0,4132.4
4/04/2005,4138.7,4138.9,4113.5,4120.8,0,4120.8
1/04/2005,4118.9,4141.3,4118.2,4138.3,0,4138.3
31/03/2005,4102.1,4127.2,4102.1,4109.8,0,4109.8
30/03/2005,4085.1,4103.9,4059.5,4095.2,0,4095.2
29/03/2005,4133.7,4151.2,4088.9,4095.6,0,4095.6
24/03/2005,4162.9,4169.5,4123.8,4136.4,0,4136.4
23/03/2005,4226.4,4226.4,4170.8,4170.8,0,4170.8
22/03/2005,4263.8,4263.8,4233.1,4233.8,0,4233.8
21/03/2005,4250.4,4266.9,4250.4,4266.4,0,4266.4
18/03/2005,4239.4,4258.1,4239.1,4249.1,0,4249.1
17/03/2005,4244.6,4249.8,4223.7,4232.4,0,4232.4
16/03/2005,4223.9,4252.9,4223.9,4244.4,0,4244.4
15/03/2005,4233.8,4245.8,4225.4,4225.4,0,4225.4
14/03/2005,4203.5,4235.4,4195.3,4233.5,0,4233.5
11/03/2005,4215.2,4215.2,4195.5,4203.8,0,4203.8
10/03/2005,4234.7,4235.9,4211.7,4215.5,0,4215.5
9/03/2005,4244.2,4255,4235.4,4241.8,0,4241.8
8/03/2005,4231.7,4245.8,4231.7,4242.9,0,4242.9
7/03/2005,4227.4,4247.9,4227.1,4238.4,0,4238.4
4/03/2005,4205.3,4228.7,4205.3,4220.4,0,4220.4
3/03/2005,4189.9,4218.8,4183,4205.2,0,4205.2
2/03/2005,4178,4201.7,4177.7,4191.5,0,4191.5
1/03/2005,4173.2,4184.9,4155.6,4184.9,0,4184.9
28/02/2005,4133.1,4176.7,4133.1,4172.8,0,4172.8
